"TreeID","RW","Year","PlotID","site","tree","species","canopy.class","live.dead","dbh","stems","total.cores","BA.cm2","BA.m2.ha","dens.stem.ha","notes","distance","azimuth","plot","Dated"
"MMA001",0.1705,1917,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.029,1918,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0515,1919,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.084,1920,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0535,1921,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1585,1922,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0495,1923,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.088,1924,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0695,1925,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0605,1926,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.094,1927,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0585,1928,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.087,1929,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.047,1930,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0745,1931,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0565,1932,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0365,1933,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.062,1934,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0665,1935,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.038,1936,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0815,1937,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0925,1938,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.029,1939,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0605,1940,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0475,1941,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0525,1942,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0345,1943,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.023,1944,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.089,1945,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0245,1946,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0425,1947,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0465,1948,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0425,1949,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.029,1950,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0425,1951,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.038,1952,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0405,1953,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.059,1954,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.063,1955,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0425,1956,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0545,1957,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0585,1958,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0245,1959,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.071,1960,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0235,1961,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0845,1962,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1425,1963,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.148,1964,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.19,1965,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.163,1966,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.187,1967,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.17,1968,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1185,1969,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.116,1970,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1415,1971,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0815,1972,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.114,1973,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1145,1974,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1185,1975,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.147,1976,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.082,1977,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.089,1978,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1025,1979,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.064,1980,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.078,1981,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0415,1982,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0425,1983,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0605,1984,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.077,1985,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0435,1986,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.103,1987,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0575,1988,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.068,1989,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.234,1990,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2745,1991,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.422,1992,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.293,1993,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2675,1994,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.394,1995,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2515,1996,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.18,1997,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2275,1998,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.3095,1999,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.258,2000,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.279,2001,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2615,2002,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.277,2003,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.205,2004,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.163,2005,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.2315,2006,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.132,2007,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1615,2008,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.167,2009,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.138,2010,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.1115,2011,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0875,2012,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.055,2013,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA001",0.0345,2014,"MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y"
"MMA002",NA,1903,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1904,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1905,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1906,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1907,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1908,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1909,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1910,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1911,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1912,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1913,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1914,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1915,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1916,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1917,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1918,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1919,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1920,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1921,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1922,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1923,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1924,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1925,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1926,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1927,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1928,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1929,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1930,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1931,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",NA,1932,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.174,1933,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.065,1934,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.054,1935,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.046,1936,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.041,1937,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.09,1938,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.056,1939,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.142,1940,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.07,1941,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.044,1942,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.148,1943,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.064,1944,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.032,1945,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.034,1946,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.054,1947,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.022,1948,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.028,1949,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.042,1950,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.028,1951,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
"MMA002",0.028,1952,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N"
